ID,LINK ARVORE DA FAMÍLIA PLATAFORMA,Criado,Responsável,Fase,REUNIÃO,FECHADO
"""211432""","""1729017356765x385519677252829200""","""24/02/2025 19:14:20""","""Eduardo Lolo""","""REUNIÃO AGENDADA""","""07/03/2025, de  19:00 até  21:00: REUNIÃO, Eduardo Lolo""",""""""
"""211348""","""1732558591074x156047412102955000""","""24/02/2025 18:37:55""","""Dayane Gomes""","""REUNIÃO AGENDADA""","""hoje, de  12:00 até  14:00: REUNIÃO, Dayane Gomes""",""""""
"""211142""","""1724339297862x229266612944109570""","""24/02/2025 17:08:49""","""Eduardo Lolo""","""ORÇAMENTO""","""14/02/2025, de  18:00 até  20:00: REUNIÃO, Eduardo Lolo""",""""""
"""210596""","""1732572486438x970448118852354000""","""24/02/2025 12:55:26""","""Anna Bonfim""","""REUNIÃO REALIZADA""","""ontem, de  16:00 até  18:00: REUNIÃO, Anna Bonfim""",""""""
"""210586""","""1724958979815x777607525688934400""","""24/02/2025 12:50:55""","""Adriano Aparecido""","""REUNIÃO AGENDADA""","""hoje, de  10:00 até  12:00: REUNIÃO, Adriano Aparecido""",""""""
"""210524""","""1723836494883x831304686192820200""","""24/02/2025 12:21:53""","""Adriano Aparecido""","""REUNIÃO AGENDADA""","""21/02/2025, de  17:00 até  17:10: REUNIÃO, Adriano Aparecido""",""""""
"""210522""","""1730833843900x428459050808639500""","""24/02/2025 12:21:45""","""Anna Bonfim""","""REUNIÃO AGENDADA""","""hoje, de  14:00 até  16:00: REUNIÃO, Anna Bonfim""",""""""
"""210468""","""1726672205596x538993371842609150""","""24/02/2025 11:45:54""","""Eduardo Lolo""","""ORÇAMENTO""","""ontem, de  12:00 até  14:00: REUNIÃO, Eduardo Lolo""",""""""
"""210372""","""1724685000704x250296458910105600""","""24/02/2025 10:57:39""","""Daniele Rosa""","""REUNIÃO AGENDADA""","""hoje, de  15:30 até  17:30: REUNIÃO, Daniele Rosa""",""""""
"""210348""","""1732654684214x528976247762190340""","""24/02/2025 10:39:48""","""Anna Bonfim""","""REUNIÃO AGENDADA""","""amanhã, de  10:00 até  12:00: REUNIÃO, Anna Bonfim""",""""""
